Event,Owner,File,Line,Click,Voice,HandsReq,VoiceReq,EyesReq
hard_landing,CommentOnLanding,behaviors\NFO\landing\CommentOnLanding.lua,40,FALSE,FALSE,FALSE,FALSE,FALSE
repeated_hard_landing,CommentOnLanding,behaviors\NFO\landing\CommentOnLanding.lua,41,FALSE,FALSE,FALSE,FALSE,FALSE
msfsnav_wpt_updated,MSFSNavigate,behaviors\NFO\navigation\MSFSNavigate.lua,365,FALSE,FALSE,FALSE,FALSE,FALSE
cap_15min,Navigate,behaviors\NFO\navigation\Navigate.lua,475,FALSE,FALSE,FALSE,FALSE,FALSE
cap_30min,Navigate,behaviors\NFO\navigation\Navigate.lua,476,FALSE,FALSE,FALSE,FALSE,FALSE
cap_45min,Navigate,behaviors\NFO\navigation\Navigate.lua,477,FALSE,FALSE,FALSE,FALSE,FALSE
cap_60min,Navigate,behaviors\NFO\navigation\Navigate.lua,478,FALSE,FALSE,FALSE,FALSE,FALSE
proxy_cap_time,Navigate,behaviors\NFO\navigation\Navigate.lua,480,FALSE,FALSE,FALSE,FALSE,FALSE
context_action_short,PrepareDscg,behaviors\PrepareDscg.lua,47,FALSE,FALSE,FALSE,FALSE,FALSE
context_action_long,PrepareDscg,behaviors\PrepareDscg.lua,50,FALSE,FALSE,FALSE,FALSE,FALSE
context_action_double,PrepareDscg,behaviors\PrepareDscg.lua,53,FALSE,FALSE,FALSE,FALSE,FALSE
injured,ReportDamage,behaviors\ReportDamage.lua,51,FALSE,FALSE,FALSE,FALSE,FALSE
damaged,ReportDamage,behaviors\ReportDamage.lua,58,FALSE,FALSE,FALSE,FALSE,FALSE
repair,ReportDamage,behaviors\ReportDamage.lua,84,FALSE,FALSE,FALSE,FALSE,FALSE
pave_spike_lock_unlock_tgt_ahead,PaveSpike,other\PaveSpike.lua,248,FALSE,FALSE,FALSE,FALSE,FALSE
context_action_short,Profiling,other\Profiling.lua,56,FALSE,FALSE,FALSE,FALSE,FALSE
context_action_double,Profiling,other\Profiling.lua,63,FALSE,FALSE,FALSE,FALSE,FALSE
proxy_eject,StayinAlive,plans\StayinAlive.lua,157,FALSE,FALSE,FALSE,FALSE,FALSE
jester_reactivated,Radar,radar\Radar.lua,403,FALSE,FALSE,FALSE,FALSE,FALSE
radar_context_a2g_dive_toss,RadarUserActions,radar\UserActions.lua,318,FALSE,FALSE,FALSE,FALSE,FALSE
radar_context_a2g_dive_laydown,RadarUserActions,radar\UserActions.lua,323,FALSE,FALSE,FALSE,FALSE,FALSE
radar_context_a2a_short,RadarUserActions,radar\UserActions.lua,328,FALSE,FALSE,FALSE,FALSE,FALSE
radar_context_a2a_long,RadarUserActions,radar\UserActions.lua,332,FALSE,FALSE,FALSE,FALSE,FALSE
radar_context_a2a_double,RadarUserActions,radar\UserActions.lua,336,FALSE,FALSE,FALSE,FALSE,FALSE
radar_iff,RadarUserActions,radar\UserActions.lua,340,FALSE,TRUE,TRUE,TRUE,FALSE
radar_display_range,RadarUserActions,radar\UserActions.lua,357,FALSE,TRUE,FALSE,FALSE,FALSE
radar_auto_focus,RadarUserActions,radar\UserActions.lua,368,FALSE,TRUE,FALSE,FALSE,FALSE
radar_scan_zone,RadarUserActions,radar\UserActions.lua,375,FALSE,FALSE,FALSE,FALSE,FALSE
radar_focus_target,RadarUserActions,radar\UserActions.lua,387,FALSE,FALSE,FALSE,FALSE,FALSE
radar_lock_target,RadarUserActions,radar\UserActions.lua,392,FALSE,FALSE,FALSE,FALSE,FALSE
radar_enter_bst,RadarUserActions,radar\UserActions.lua,397,FALSE,TRUE,FALSE,FALSE,FALSE
radar_bst_aspect,RadarUserActions,radar\UserActions.lua,418,FALSE,TRUE,FALSE,FALSE,FALSE
radar_unlock_tgt,RadarUserActions,radar\UserActions.lua,430,FALSE,FALSE,FALSE,FALSE,FALSE
divert_homebase,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,213,FALSE,FALSE,FALSE,FALSE,FALSE
divert_tanker_1,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,228,FALSE,FALSE,FALSE,FALSE,FALSE
divert_tanker_2,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,232,FALSE,FALSE,FALSE,FALSE,FALSE
divert_tanker_3,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,236,FALSE,FALSE,FALSE,FALSE,FALSE
divert_tanker_4,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,240,FALSE,FALSE,FALSE,FALSE,FALSE
divert_airfield_1,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,244,FALSE,FALSE,FALSE,FALSE,FALSE
divert_airfield_2,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,248,FALSE,FALSE,FALSE,FALSE,FALSE
divert_airfield_3,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,252,FALSE,FALSE,FALSE,FALSE,FALSE
divert_airfield_4,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,256,FALSE,FALSE,FALSE,FALSE,FALSE
msfs_fuel_check,CheckFuelDialog,tasks\fuel\CheckFuelDialog.lua,260,FALSE,FALSE,FALSE,FALSE,FALSE
dlg_below_50,MinimumAltitudePlan,tasks\navigation\MinimumAltitudePlan.lua,87,FALSE,FALSE,FALSE,FALSE,FALSE
dlg_below_100,MinimumAltitudePlan,tasks\navigation\MinimumAltitudePlan.lua,88,FALSE,FALSE,FALSE,FALSE,FALSE
dlg_below_150,MinimumAltitudePlan,tasks\navigation\MinimumAltitudePlan.lua,89,FALSE,FALSE,FALSE,FALSE,FALSE
dlg_below_200,MinimumAltitudePlan,tasks\navigation\MinimumAltitudePlan.lua,90,FALSE,FALSE,FALSE,FALSE,FALSE
say_roger,MinimumAltitudePlan,tasks\navigation\MinimumAltitudePlan.lua,91,FALSE,FALSE,FALSE,FALSE,FALSE
yes,SayReadyForInsAlignment,tasks\start\SayReadyForInsAlignment.lua,68,FALSE,FALSE,FALSE,FALSE,FALSE
